id,name,qoh,qa,qoo,avail,limit,price
33003,Ketchup,32.0000,0.0000,0.0000,32.0000,0,0.00
33567,Rustic Panini Bread,26.0000,4.0000,0.0000,22.0000,0,3.36
33876,Gatorade Orange,19.0000,19.0000,0.0000,0.0000,0,4.48
34003,Coffee mate hazelnut creamer,1.0000,1.0000,0.0000,0.0000,0,1.12
34130,Tombstone Cheese Pizza,54.0000,0.0000,0.0000,54.0000,0,3.68
34176,Potato salad,6.0000,0.0000,0.0000,6.0000,0,0.80
34760,Cottage Cheese,32.0000,0.0000,0.0000,32.0000,0,0.00
34887,Baby Ruth Mini's,19.0000,0.0000,0.0000,19.0000,0,0.00
35962,Cinnamon Roll Dough,80.0000,0.0000,0.0000,80.0000,0,0.00
360020,Veganrella mozzarella cheese,82.0000,0.0000,0.0000,82.0000,0,0.48
36114,Heavy Whipping Cream,103.0000,0.0000,0.0000,103.0000,0,2.24
37044,Sweet Tarts,25.0000,0.0000,0.0000,25.0000,0,0.00
37852,Crinkle Cut French Fries,76.0000,76.0000,0.0000,0.0000,0,4.96
38422,Country Gravy Mix,11.0000,0.0000,0.0000,11.0000,0,1.76
38477,Crackers,136.0000,133.0000,0.0000,3.0000,0,1.92
38548,Wypall Paper Towels,5.0000,5.0000,0.0000,0.0000,0,3.20
38793,Huggies snug & dry 27 lbs,12.0000,9.0000,0.0000,3.0000,3,1.12
390250,M &M's Ice Cream Cookie,82.0000,0.0000,0.0000,82.0000,0,0.80
39265,Pillsbury bakery mix,19.0000,0.0000,0.0000,19.0000,0,8.00
40143,Marinara pasta sauce,120.0000,66.0000,0.0000,54.0000,0,4.48
40161,Whole Foods Peanut Butter,289.0000,289.0000,0.0000,0.0000,0,2.56
40189,Chocolate Chex Mix,2.0000,2.0000,0.0000,0.0000,0,0.80
40803,Chocolate Fudge Brownie (u),65.0000,0.0000,0.0000,65.0000,0,1.28
408420,Spaghetti,68.0000,49.0000,0.0000,19.0000,0,5.12
41500,Cattlemen's classic BBQ sauce,9.0000,0.0000,0.0000,9.0000,0,6.88
41512,Quick Grits,735.0000,572.0000,0.0000,163.0000,0,2.40
416601,Low Fat 1 % Milk,48.0000,0.0000,0.0000,48.0000,0,0.00
41736,Ginger Snaps,-54.0000,0.0000,0.0000,-54.0000,0,0.00
420261,Chunky Peanut Butter,1.0000,1.0000,0.0000,0.0000,0,4.48
42153,Greek yogurt plain,110.0000,0.0000,0.0000,110.0000,0,0.00
42315,Skim Milk,27.0000,0.0000,0.0000,27.0000,0,3.04
42537,Baked Tortilla Scoops,17.0000,0.0000,0.0000,17.0000,0,0.96
42770,Macaroni & Cheese Dinner,40.0000,40.0000,0.0000,0.0000,0,1.12
42805,Organic Crackers,13.0000,0.0000,0.0000,13.0000,0,1.28
430361,Roasted Garlic Rye Chips,1.0000,1.0000,0.0000,0.0000,0,2.40
43053,Chocolate Fudge Brownie,756.0000,567.0000,0.0000,189.0000,0,0.00
434720,Cinnamon Toast Crunch,32.0000,0.0000,0.0000,32.0000,3,1.92
43709,Chicken Helper Cheddar Broccol,20.0000,20.0000,0.0000,0.0000,0,1.28
43711,Creamy Stroganof Helper,60.0000,60.0000,0.0000,0.0000,0,1.28
43810,Venus Bikini Razor,216.0000,0.0000,0.0000,216.0000,0,1.60
44026,Apple Slices,51.0000,0.0000,0.0000,51.0000,0,0.32
440681,Cheez-it Crackers,38.0000,0.0000,0.0000,38.0000,0,1.44
44158,Organic Sliced Beets,179.0000,75.0000,0.0000,104.0000,0,4.00
441810,Organic Pear Halves,612.0000,172.0000,0.0000,440.0000,0,2.08
44458,Raspberry Iced Tea,130.0000,0.0000,0.0000,130.0000,0,4.00
45212,Buttered Mashed Potatoes,279.0000,144.0000,0.0000,135.0000,0,0.32
45357,Cheerios,3.0000,3.0000,0.0000,0.0000,3,2.56
